subject,trial,repeat,choice,rt,item_value_0,gaze_0,stimulus_0,item_value_1,gaze_1,stimulus_1,item_value_2,gaze_2,stimulus_2,item_value_3,gaze_3,stimulus_3,item_value_4,gaze_4,stimulus_4,item_value_5,gaze_5,stimulus_5,item_value_6,gaze_6,stimulus_6,item_value_7,gaze_7,stimulus_7,item_value_8,gaze_8,stimulus_8,setsize,rt_choice_indication,best_chosen,best_seen_chosen,longest_chosen,fixation_count,refixation_count,seen_items_count,fixation_onset_0,gaze_corrected_0,fixation_onset_1,gaze_corrected_1,fixation_onset_2,gaze_corrected_2,fixation_onset_3,gaze_corrected_3,fixation_onset_4,gaze_corrected_4,fixation_onset_5,gaze_corrected_5,fixation_onset_6,gaze_corrected_6,fixation_onset_7,gaze_corrected_7,fixation_onset_8,gaze_corrected_8,v,gamma,zeta,s
27.0,3.0,0.0,6.0,5601.0,-3.0,0.07866785440805239,nr124.png,2.0,0.09228344459406146,nr76.png,3.0,0.07765929217205171,nr7.png,3.0,0.16187423887810778,nr39.png,-2.0,0.1406944319220937,nr79.png,1.0,0.07261648099204836,nr20.png,-3.0,0.0393339272040262,nr29.png,-2.0,0.06353942086804233,nr48.png,-2.0,0.059505171924039625,nr46.png,9,1411.7327770000004,1.0,1.0,1.0,12.0,3.0,9.0,1200.0,0.11279655948107804,1374.0,0.14120142585014642,2798.0,0.2636891901542833,700.0,0.1965682120933189,0.0,0.1406944319220937,1604.0,0.12192840884230002,2288.0,0.09296550222913574,1972.0,0.12637648730870593,2508.0,0.16186092726144544,0.000185,0.0,0.01,0.0089
27.0,5.0,0.0,6.0,11698.0,2.0,0.046126570000352266,nr54.png,-2.0,0.12017185342197036,nr107.png,2.0,0.09387161614106776,nr102.png,1.0,0.11491180596578986,nr20.png,-3.0,0.1274549960536049,nr50.png,1.0,0.05381433166707763,nr44.png,2.0,0.07242680728125486,nr60.png,1.0,0.07485452149179972,nr100.png,3.0,0.08942080675506885,nr55.png,9,1481.084404,0.0,0.0,0.0,17.0,8.0,9.0,1276.0,0.06217750220398521,1964.0,0.1994010459861835,1586.0,0.13822189279020028,2228.0,0.20921417658362496,0.0,0.1274549960536049,2924.0,0.13175353357429534,1002.0,0.0908417050951101,640.0,0.08598809603480763,802.0,0.106739534601101,0.000185,0.0,0.01,0.0089
27.0,11.0,0.0,4.0,7779.0,1.0,0.06505579782143989,nr2.png,1.0,0.11265176755109628,nr44.png,-3.0,0.08108057154951515,nr51.png,-2.0,0.05333618718448931,nr88.png,-2.0,0.12831777768824448,nr48.png,0.0,0.07414447545825867,nr58.png,2.0,0.0660125007305787,nr4.png,1.0,0.15570339846234324,nr96.png,-1.0,0.07294859682183516,nr28.png,9,1584.991544,0.0,0.0,1.0,23.0,14.0,9.0,923.0,0.07312759204438307,1183.0,0.13121508633213935,1567.0,0.0997784778132111,1751.0,0.0674627824683473,0.0,0.12831777768824448,695.0,0.08086549505661933,2165.0,0.08907460371448273,2033.0,0.2057179949004718,2655.0,0.10688529582698257,0.000185,0.0,0.01,0.0089
27.0,17.0,0.0,8.0,4135.0,0.0,0.07920388803365112,nr1.png,1.0,0.17578793958565828,nr95.png,-3.0,0.055864811309001575,nr50.png,-1.0,0.045685001248250166,nr49.png,2.0,0.09211486664728703,nr53.png,0.0,0.11992312827665673,nr58.png,1.0,0.060582284263983925,nr20.png,-3.0,0.08292820878758456,nr14.png,3.0,0.058347691811623865,nr55.png,9,1631.132716,0.0,0.0,1.0,22.0,13.0,9.0,1085.0,0.09153304792008124,761.0,0.19412790194992094,3955.0,0.1097518114315144,1323.0,0.054662989828588485,0.0,0.09211486664728703,477.0,0.1274715742457042,2873.0,0.0941692246056086,1769.0,0.1062651901267185,1995.0,0.07755570660279305,0.000185,0.0,0.01,0.0089
27.0,23.0,0.0,8.0,4255.0,1.0,0.046465163877713496,nr93.png,0.0,0.07114978218774877,nr1.png,-3.0,0.05343493845937052,nr50.png,1.0,0.05691982575019903,nr44.png,1.0,0.23581070667939602,nr2.png,2.0,0.0778291494951701,nr76.png,-3.0,0.045303534780770656,nr72.png,-1.0,0.04762679297465633,nr97.png,3.0,0.19457287373792528,nr91.png,9,1876.425952,1.0,1.0,0.0,11.0,2.0,9.0,1320.0,0.07534943597622377,1534.0,0.12830987660153215,1832.0,0.11418359330252555,1086.0,0.08314103730480824,0.0,0.23581070667939602,2054.0,0.1928834755025132,892.0,0.06114194538610487,680.0,0.05934632377945285,2362.0,0.6195443594112721,0.000185,0.0,0.01,0.0089
27.0,27.0,0.0,0.0,4039.0,-2.0,0.062043788228881326,nr12.png,1.0,0.04953075530877081,nr15.png,2.0,0.23409799088040095,nr112.png,1.0,0.0,nr114.png,0.0,0.17726796636823236,nr45.png,-2.0,0.10583940344926816,nr106.png,2.0,0.06360791734389515,nr76.png,3.0,0.0683003046889366,nr3.png,-3.0,0.06569342283058023,nr27.png,9,1668.0079280000002,1.0,1.0,0.0,11.0,3.0,8.0,1056.0,0.0856114967178223,1346.0,0.07630520687892388,776.0,0.293464008459787,3836.000457,0.0,0.0,0.17726796636823236,610.0,0.12585243102462462,3008.0,0.2946858276915178,2676.0,0.22586197998368546,3310.0,0.4790870362304646,0.000185,0.0,0.01,0.0089
27.0,30.0,0.0,7.0,5139.0,-2.0,0.08563925694647634,nr107.png,0.0,0.046415169795418466,nr45.png,-3.0,0.06145106986999065,nr81.png,-2.0,0.062104804655841624,nr79.png,1.0,0.16833670735662334,nr15.png,3.0,0.17520092260805847,nr89.png,-2.0,0.055567456797331966,nr120.png,1.0,0.049683843724673285,nr93.png,-2.0,0.04903010893882233,nr56.png,9,1521.208989,1.0,1.0,1.0,10.0,1.0,9.0,802.0,0.11606557442700087,612.0,0.058022069650329834,2766.0,0.6408844314240367,1282.0,0.10690104657362398,0.0,0.16833670735662334,2150.0,0.5894354991620229,1524.0,0.11072432715464234,1738.0,0.11503433525161665,1948.0,0.1349716346312092,0.000185,0.0,0.01,0.0089
27.0,31.0,0.0,2.0,5804.0,-3.0,0.09963881104150267,nr51.png,-3.0,0.10449924084840524,nr29.png,3.0,0.1409524644001745,nr91.png,-1.0,0.04921185179488851,nr8.png,-2.0,0.1986700683571425,nr106.png,3.0,0.09295572005701164,nr39.png,1.0,0.0,nr44.png,-1.0,0.06986867847422443,nr21.png,-1.0,0.05893271140869365,nr28.png,9,1585.811506,1.0,1.0,0.0,11.0,3.0,8.0,742.0,0.12863300273034567,932.0,0.14576950972666608,1570.0,0.2694713456491801,540.0,0.05886863332310234,0.0,0.1986700683571425,2100.0,0.2567351136714809,3291.889943,0.0,2736.0,0.4137509643702979,2382.0,0.2132125994934752,0.000185,0.0,0.01,0.0089
27.0,34.0,0.0,4.0,4914.0,-1.0,0.0048160102787766544,nr49.png,1.0,0.060755821978413185,nr114.png,-3.0,0.07557431514387981,nr63.png,-2.0,0.06446044526977984,nr79.png,2.0,0.2533962331294794,nr4.png,2.0,0.08076078775179314,nr31.png,0.0,0.0726106165107865,nr58.png,3.0,0.1867130138848796,nr39.png,-2.0,0.0,nr80.png,9,1587.4052359999996,1.0,1.0,0.0,10.0,2.0,8.0,2686.0,0.9752593946174744,678.0,0.08113470699078952,1952.0,0.2729718573361241,2476.0,0.7791168492897901,0.0,0.2533962331294794,2194.0,0.4314014443799252,1310.0,0.14107521614664695,896.0,0.279482989541502,2699.329787,0.0,0.000185,0.0,0.01,0.0089
27.0,39.0,0.0,6.0,6566.0,3.0,0.07418749628852761,nr55.png,1.0,0.07836255019221099,nr44.png,1.0,0.11272645539945104,nr90.png,3.0,0.12749972305863838,nr91.png,-2.0,0.09955897770321888,nr48.png,1.0,0.08157413011812127,nr15.png,1.0,0.12653624908086528,nr95.png,-1.0,0.05556033271824795,nr21.png,-2.0,0.053312226770110764,nr85.png,9,1855.457562,1.0,1.0,1.0,18.0,9.0,9.0,651.0,0.08284819161317401,989.0,0.09315706908921506,1319.0,0.14301824918951175,2783.0,0.2305147863728589,0.0,0.09955897770321888,1743.0,0.1132799689253957,2485.0,0.21055643908609012,2277.0,0.08758463704379763,2095.0,0.08033946799485481,0.000185,0.0,0.01,0.0089
