subject,trial,repeat,choice,rt,item_value_0,gaze_0,stimulus_0,item_value_1,gaze_1,stimulus_1,item_value_2,gaze_2,stimulus_2,item_value_3,gaze_3,stimulus_3,item_value_4,gaze_4,stimulus_4,item_value_5,gaze_5,stimulus_5,item_value_6,gaze_6,stimulus_6,item_value_7,gaze_7,stimulus_7,item_value_8,gaze_8,stimulus_8,setsize,rt_choice_indication,best_chosen,best_seen_chosen,longest_chosen,fixation_count,refixation_count,seen_items_count,fixation_onset_0,gaze_corrected_0,fixation_onset_1,gaze_corrected_1,fixation_onset_2,gaze_corrected_2,fixation_onset_3,gaze_corrected_3,fixation_onset_4,gaze_corrected_4,fixation_onset_5,gaze_corrected_5,fixation_onset_6,gaze_corrected_6,fixation_onset_7,gaze_corrected_7,fixation_onset_8,gaze_corrected_8,v,alpha,gamma,zeta,tau
3.0,1.0,0.0,7.0,2547.0,1.0,0.04744880827569593,nr83.png,1.0,0.060196249304987376,nr98.png,-1.0,0.02832764673175877,nr124.png,1.0,0.0803796976013655,nr121.png,-2.0,0.17740188765763928,nr99.png,0.0,0.03718003633543338,nr4.png,-2.0,0.055238911126929593,nr85.png,2.0,0.2574274896748578,nr93.png,-3.0,0.052052050869606736,nr114.png,9,1470.645357,1.0,1.0,1.0,16.0,7.0,9.0,2316.0,0.08042752786562052,2138.0,0.09686078646657993,1924.0,0.04296233418374302,606.0,0.09004019695054732,0.0,0.17740188765763928,4652.0,0.21080264456053344,1274.0,0.0713274517673735,928.0,0.3080382886321798,1660.0,0.07371760633869273,1.3e-07,4.2e-07,0.5,0.58,3.4
3.0,13.0,0.0,8.0,1641.0,-2.0,0.029770201827414067,nr74.png,-1.0,0.10466824928209867,nr96.png,-3.0,0.04276513119652338,nr111.png,1.0,0.11341029267586313,nr121.png,0.0,0.0779695762146559,nr51.png,1.0,0.12711403637419658,nr69.png,-3.0,0.09167331991298937,nr113.png,-1.0,0.14129032295867947,nr3.png,2.0,0.05906786076867871,nr60.png,9,1359.9651869999998,0.0,0.0,0.0,25.0,16.0,9.0,1970.0,0.03880003106958679,426.0,0.11021490443467158,2548.0,0.061181304583357216,652.0,0.1228746499787601,0.0,0.0779695762146559,1678.0,0.1585421160117612,1026.0,0.10431733755655803,1292.0,0.1667400880713338,1498.0,0.07176854765102003,1.3e-07,4.2e-07,0.5,0.58,3.4
3.0,18.0,0.0,0.0,4204.0,3.0,0.07958092540288582,nr31.png,0.0,0.06809501864370643,nr76.png,-1.0,0.06071122144137681,nr109.png,1.0,0.18377450814687035,nr29.png,1.0,0.15013720978070216,nr63.png,-2.0,0.06645417482096651,nr8.png,1.0,0.0,nr75.png,2.0,0.09680978554165492,nr60.png,1.0,0.0590703776186369,nr69.png,9,1177.955458,1.0,1.0,0.0,9.0,1.0,8.0,1035.0,0.13829778723526162,1279.0,0.14325533672255775,1491.0,0.15632094944477612,849.0,0.2819791244132015,0.0,0.15013720978070216,1697.0,0.21869133394037896,2437.7700940000004,0.0,479.0,0.12048376719805072,1901.0,0.2682712796588848,1.3e-07,4.2e-07,0.5,0.58,3.4
3.0,21.0,0.0,8.0,2841.0,1.0,0.03747376943619884,nr83.png,-1.0,0.10959794211819797,nr72.png,-3.0,0.05954735965204199,nr27.png,1.0,0.05646732380797085,nr98.png,1.0,0.18736884718099414,nr97.png,1.0,0.06724744926221983,nr44.png,-2.0,0.07751423540912361,nr74.png,-3.0,0.11396132623063207,nr42.png,3.0,0.097534468395586,nr56.png,9,1692.756368,1.0,1.0,0.0,13.0,4.0,9.0,1615.0,0.06400537140091084,1811.0,0.2047904117493717,2057.0,0.12615150255506682,1351.0,0.08644201901280027,0.0,0.18736884718099414,2339.0,0.16826599048486007,987.0,0.10381365458626872,711.0,0.13940089085740529,569.0,0.11421500214624265,1.3e-07,4.2e-07,0.5,0.58,3.4
3.0,22.0,0.0,7.0,1726.0,1.0,0.02977898160808405,nr88.png,1.0,0.06907495733833931,nr50.png,-1.0,0.0963979404632824,nr14.png,-3.0,0.11589242842321372,nr12.png,-1.0,0.10990593212055763,nr53.png,-1.0,0.13200991846882626,nr89.png,1.0,0.10069593780877907,nr18.png,1.0,0.06876795752794668,nr44.png,-2.0,0.07644295278776216,nr15.png,9,1536.161699,0.0,0.0,1.0,19.0,10.0,9.0,2345.0,0.046526552946952016,2587.0,0.1145719767998652,1071.0,0.11536351807635115,467.0,0.12484163293197165,0.0,0.10990593212055763,767.0,0.14962605654290315,1785.0,0.13869912891136904,1401.0,0.0876084496099989,3987.0,0.19702001264881144,1.3e-07,4.2e-07,0.5,0.58,3.4
3.0,23.0,0.0,2.0,3453.0,0.0,0.0,nr76.png,-2.0,0.0,nr84.png,3.0,0.2500667711980821,nr31.png,-2.0,0.0,nr100.png,-2.0,0.26017728755379965,nr101.png,-1.0,0.09301675047260197,nr95.png,-1.0,0.0,nr81.png,-3.0,0.12537040281089828,nr113.png,1.0,0.0,nr7.png,9,1753.9358149999998,1.0,1.0,0.0,4.0,0.0,4.0,1483.6037519999998,0.0,1483.6037519999998,0.0,1088.0,0.9378070812634766,1483.6037519999998,0.0,0.0,0.26017728755379965,906.0,0.2389181156150109,1483.6037519999998,0.0,636.0,0.2194421621673049,1483.6037519999998,0.0,1.3e-07,4.2e-07,0.5,0.58,3.4
3.0,25.0,0.0,4.0,942.0,2.0,0.04948510136048003,nr65.png,-1.0,0.16237298883907508,nr89.png,-2.0,0.0,nr100.png,1.0,0.15206359272230846,nr121.png,1.0,0.09278456505090003,nr83.png,-1.0,0.07061936339985171,nr120.png,1.0,0.1242282232070384,nr97.png,-3.0,0.03917570524371335,nr52.png,1.0,0.0752585916523967,nr46.png,9,1300.174483,1.0,1.0,0.0,11.0,3.0,8.0,3301.0,0.3316316037581033,1287.0,0.24296597328880376,3879.9556780000003,0.0,489.0,0.17399224762146834,0.0,0.09278456505090003,1677.0,0.12437835347134933,877.0,0.16050852949019118,2339.0,0.09864008561056097,1999.0,0.1552402342145991,1.3e-07,4.2e-07,0.5,0.58,3.4
3.0,33.0,0.0,4.0,4021.0,-2.0,0.09254768321895508,nr15.png,-1.0,0.0742127648453885,nr1.png,0.0,0.04059874782718312,nr76.png,1.0,0.09516695727232173,nr97.png,2.0,0.14449661861072702,nr21.png,-3.0,0.04889311566284419,nr111.png,-1.0,0.20866883291820998,nr89.png,-2.0,0.047583478636160866,nr100.png,-1.0,0.056314392147383034,nr20.png,9,1007.708824,1.0,1.0,0.0,14.0,5.0,9.0,620.0,0.1070322704039591,860.0,0.09136292311149494,1110.0,0.05358034699858151,446.0,0.10543059228962327,0.0,0.14449661861072702,2132.0,0.0914501429495765,2686.0,0.5043731454628766,2418.0,0.1007662819520803,2914.0,0.15472986834676614,1.3e-07,4.2e-07,0.5,0.58,3.4
3.0,35.0,0.0,3.0,2645.0,-3.0,0.06515392472463459,nr112.png,-2.0,0.07611633110687469,nr28.png,-1.0,0.09411122460224997,nr96.png,1.0,0.14147709368777794,nr98.png,-2.0,0.11624287522299885,nr48.png,-3.0,0.07735735824448678,nr113.png,-1.0,0.043229111960154366,nr91.png,1.0,0.10176422528419116,nr7.png,-2.0,0.06577443829344062,nr15.png,9,1783.6098149999998,0.0,0.0,0.0,27.0,18.0,9.0,2027.0,0.08243473122499426,503.0,0.08029315881470678,6101.0,0.2550155514970785,1633.0,0.17022526593951415,0.0,0.11624287522299885,639.0,0.08283123516316575,1381.0,0.050431869167272526,1121.0,0.11510912788622435,875.0,0.07231866748435987,1.3e-07,4.2e-07,0.5,0.58,3.4
3.0,37.0,0.0,6.0,3853.0,-2.0,0.06851078663219567,nr85.png,-1.0,0.05092017925365895,nr39.png,-1.0,0.11017275147609844,nr90.png,-1.0,0.0,nr91.png,-3.0,0.1768318952263429,nr125.png,-1.0,0.07128825095512252,nr94.png,3.0,0.11341312651951313,nr87.png,1.0,0.10091453706634228,nr7.png,-2.0,0.0962854298614642,nr106.png,9,1181.836497,1.0,1.0,0.0,8.0,0.0,8.0,685.0,0.10032240298835493,531.0,0.0675159862664382,897.0,0.18840385810887475,2160.24377,0.0,0.0,0.1768318952263429,1187.0,0.15823373829559678,1897.0,0.9306962896025991,1633.0,0.413470983260741,1375.0,0.2648858965159316,1.3e-07,4.2e-07,0.5,0.58,3.4
