subject,trial,rt,stimulus,rating
27,1,1688.2924489999998,nr84.png,2.0
27,2,910.6435960000001,nr91.png,3.0
27,3,880.1858440000003,nr98.png,0.0
27,4,839.247975,nr62.png,1.0
27,5,773.679311,nr99.png,-1.0
27,6,1015.645912,nr30.png,2.0
27,7,737.266925,nr18.png,2.0
27,8,720.901786,nr94.png,-1.0
27,9,875.9073740000001,nr48.png,-2.0
27,10,837.2003269999999,nr83.png,-1.0
27,11,703.1755049999998,nr8.png,2.0
27,12,729.081468,nr4.png,-1.0
27,13,682.1219179999998,nr93.png,2.0
27,14,998.940087,nr28.png,1.0
27,15,665.626536,nr124.png,-1.0
27,16,1080.336875,nr76.png,0.0
27,17,643.2750040000002,nr51.png,1.0
27,18,860.5700690000001,nr65.png,1.0
27,19,581.7926520000002,nr10.png,2.0
27,20,892.0213289999998,nr85.png,2.0
27,21,638.310349,nr109.png,0.0
27,22,731.811772,nr102.png,2.0
27,23,500.02598499999993,nr20.png,-1.0
27,24,841.9859769999998,nr79.png,-2.0
27,25,595.29981,nr52.png,-3.0
27,26,478.994212,nr125.png,-3.0
27,27,689.133258,nr55.png,-2.0
27,28,690.1434479999997,nr74.png,-3.0
27,29,829.8187879999997,nr63.png,2.0
27,30,834.5277679999997,nr111.png,-1.0
27,31,663.778103,nr46.png,-2.0
27,32,895.238923,nr89.png,2.0
27,33,1045.745975,nr92.png,1.0
27,34,715.0061790000003,nr39.png,2.0
27,35,846.3728759999997,nr45.png,-2.0
27,36,1023.1708480000001,nr54.png,1.0
27,37,920.123148,nr49.png,2.0
27,38,815.2193159999997,nr31.png,1.0
27,39,831.1468879999999,nr27.png,2.0
27,40,955.2911619999999,nr72.png,-1.0
27,41,707.482205,nr44.png,2.0
27,42,704.1417459999999,nr113.png,-1.0
27,43,593.6043980000002,nr1.png,2.0
27,44,909.450873,nr96.png,3.0
27,45,601.1296550000002,nr80.png,2.0
27,46,813.1777639999998,nr11.png,2.0
27,47,631.851422,nr75.png,2.0
27,48,635.71863,nr95.png,3.0
27,49,566.5721169999998,nr58.png,2.0
27,50,665.184478,nr106.png,-1.0
27,51,351.996448,nr69.png,0.0
27,52,697.3305839999998,nr120.png,-2.0
27,53,689.069419,nr21.png,-2.0
27,54,748.043459,nr90.png,3.0
27,55,453.2374190000001,nr9.png,-2.0
27,56,629.7742620000001,nr56.png,-3.0
27,57,701.8611999999997,nr112.png,-3.0
27,58,1153.565851,nr121.png,-2.0
27,59,838.7359829999997,nr101.png,0.0
27,60,524.771304,nr15.png,2.0
27,61,493.082975,nr2.png,-2.0
27,62,595.877566,nr41.png,3.0
27,63,649.580911,nr7.png,-1.0
27,64,594.178946,nr14.png,-2.0
27,65,682.1446950000002,nr60.png,-2.0
27,66,692.34187,nr114.png,-2.0
27,67,526.0750230000001,nr57.png,2.0
27,68,631.6012010000002,nr42.png,-2.0
27,69,669.7118859999998,nr3.png,-3.0
27,70,521.746509,nr88.png,-2.0
27,71,537.431558,nr53.png,2.0
27,72,998.433869,nr12.png,2.0
27,73,612.240138,nr29.png,2.0
27,74,650.276078,nr19.png,-2.0
27,75,630.725425,nr87.png,2.0
27,76,794.102532,nr100.png,2.0
27,77,742.1170549999998,nr97.png,-2.0
27,78,533.001672,nr107.png,2.0
27,79,460.517587,nr50.png,-2.0
27,80,470.6204470000001,nr81.png,-1.0
