subject,trial,rt,stimulus,value
61,1,2681.848278,nr91.png,-2
61,2,2218.4508969999997,nr9.png,0
61,3,1747.924443,nr88.png,-3
61,4,848.2177800000001,nr72.png,-3
61,5,1910.0568580000001,nr69.png,3
61,6,1113.550594,nr52.png,3
61,7,908.9690350000001,nr121.png,-3
61,8,1615.55718,nr56.png,-1
61,9,1043.310484,nr39.png,-1
61,10,982.784749,nr84.png,-3
61,11,2975.4773139999998,nr41.png,-2
61,12,824.140681,nr120.png,-3
61,13,2358.1089140000004,nr98.png,0
61,14,1953.6935930000002,nr18.png,1
61,15,1582.59689,nr93.png,1
61,16,990.109828,nr7.png,-3
61,17,801.4221570000001,nr63.png,3
61,18,864.4475429999999,nr14.png,3
61,19,1675.2786760000001,nr89.png,-1
61,20,1947.243006,nr76.png,-2
61,21,1433.412164,nr28.png,-2
61,22,1246.0567629999998,nr54.png,1
61,23,1438.078156,nr20.png,1
61,24,1400.1397390000002,nr83.png,0
61,25,2519.268673,nr27.png,1
61,26,1803.960624,nr102.png,-3
61,27,1354.8720730000002,nr81.png,2
61,28,1498.624743,nr114.png,2
61,29,1455.15354,nr57.png,2
61,30,984.020138,nr12.png,-3
61,31,1158.3575959999998,nr53.png,1
61,32,844.81669,nr58.png,-3
61,33,711.0093690000001,nr124.png,-3
61,34,629.76977,nr74.png,-3
61,35,1692.8002880000001,nr80.png,2
61,36,1354.2455559999999,nr113.png,0
61,37,2541.817816,nr100.png,-2
61,38,1168.186817,nr51.png,0
61,39,843.775704,nr46.png,-3
61,40,1276.219702,nr15.png,-1
61,41,1065.783919,nr75.png,0
61,42,1196.5343659999999,nr49.png,2
61,43,1079.071973,nr10.png,0
61,44,2211.1190810000003,nr112.png,-3
61,45,2419.175192,nr94.png,-2
61,46,2351.9557069999996,nr31.png,1
61,47,1459.6806269999997,nr11.png,-1
61,48,846.937479,nr8.png,-3
61,49,650.221542,nr106.png,-3
61,50,771.5793740000001,nr3.png,-3
61,51,2098.142393,nr85.png,0
61,52,1225.639958,nr90.png,-1
61,53,905.40081,nr96.png,-3
61,54,886.66049,nr30.png,3
61,55,2081.9530509999995,nr125.png,-2
61,56,1555.761899,nr79.png,-3
61,57,1429.712412,nr111.png,2
61,58,1337.538127,nr62.png,1
61,59,1061.098678,nr97.png,0
61,60,1677.112994,nr99.png,-1
61,61,810.288987,nr95.png,-3
61,62,1529.699388,nr44.png,-2
61,63,1762.5139709999999,nr2.png,-2
61,64,1573.2270509999998,nr19.png,0
61,65,1413.572152,nr50.png,-2
61,66,1458.4009680000001,nr92.png,1
61,67,1462.0202,nr60.png,-1
61,68,1097.3869160000002,nr65.png,2
61,69,2742.1651749999996,nr48.png,-1
61,70,918.160832,nr109.png,-3
61,71,591.465965,nr21.png,-3
61,72,1064.910709,nr42.png,2
61,73,1106.600206,nr55.png,1
61,74,2045.3982310000001,nr101.png,-1
61,75,1965.267307,nr87.png,1
61,76,1042.798171,nr29.png,2
61,77,1735.868571,nr1.png,-3
61,78,1198.144446,nr4.png,3
61,79,693.343398,nr107.png,-3
61,80,2836.0082460000003,nr45.png,-2
